,Name,Style,ABV
0,Bier Co Light,Light German-Style Pilsner,3.5
1,Dunkel,Munich-Style Brown Lager,5
2,Hefeweizen,Bavarian-Style Wheat Ale,5.2
3,Helles Lager,Munich-Style Golden Lager,5.1
4,Hop Spritz,Hop-Infused Refresher,0
5,Never Say IPA,India Pale Ale,5.8
6,Pure Pils,German-Style Pilsner,4.8
7,Kölsch,Köln-Style Golden Ale,4.8
8,Festbier,Vienna-Style Lager,5.5
9,Schwarzbier,Black Lager,5
10,Schwarzbock,Black Doppelbock Lager,7.4
11,Heim Bier,Bohemian-Style Export Lager,5.5
12,Winterbock,Dark Doppelbock Lager,8.25
13,Zoigl Bier,Zoigl Lager,4.8
14,Äpfel Cider,Apple Cider (Gluten-Free),5
15,ArrowRed Lager,Nürnberg-Style Red Lager (Rotbier),5.2
